City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
1,Atuona,PF,80.49,few clouds,-9.8,-139.0333,Villa Enata
2,Kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
14,Rikitea,PF,78.19,broken clouds,-23.1203,-134.9692,Pension Maro'i
15,Antalaha,MG,72.88,broken clouds,-14.9003,50.2788,Hotel Vitasoa
17,Maldonado,UY,70.0,light rain,-34.6667,-54.9167,La Cimarrona
24,San Cristobal,VE,78.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
29,Kindia,GN,73.26,broken clouds,10.0569,-12.8658,LES EAUX DE KILISSI
30,Vila Velha,BR,75.99,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
31,Avarua,CK,84.2,overcast clouds,-21.2078,-159.775,Paradise Inn
32,Carnarvon,AU,87.8,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
34,Tura,IN,75.43,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
36,Raha,IN,76.19,clear sky,26.2333,92.5167,Bishnu Rajbingshi Rent House
37,Arraial Do Cabo,BR,75.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
39,Cabo San Lucas,MX,75.2,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
41,Durango,MX,75.69,clear sky,24.8333,-104.8333, 
48,Sunrise Manor,US,82.4,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
55,Xuddur,SO,75.74,few clouds,4.1213,43.8894,Banjanay Hotel
61,Bubaque,GW,76.59,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
62,Palmares Do Sul,BR,74.32,overcast clouds,-30.2578,-50.5097,Restaurante e Pensão Lopes
66,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
69,Kavaratti,IN,82.47,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
73,Santa Cruz,BO,75.2,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
74,Kavieng,PG,83.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
75,Vaini,TO,82.4,scattered clouds,-21.2,-175.2,Keleti Beach Resort
76,Cancun,MX,80.6,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
80,Puerto Ayora,EC,75.99,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
84,Port Macquarie,AU,82.0,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
85,Mahebourg,MU,77.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
86,Conde,BR,73.4,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
87,Laguna,US,72.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
89,Camocim,BR,78.84,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
90,Fare,PF,82.17,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
92,Lorengau,PG,80.35,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
94,Bacnar,PH,83.44,overcast clouds,15.8833,120.3333,Green Apple Inn
98,Bo Rai,TH,82.0,overcast clouds,12.5728,102.5371,Baiboon Resort
100,Hilo,US,78.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
101,Sambava,MG,74.61,scattered clouds,-14.2667,50.1667,Melrose
105,Presidencia Roque Saenz Pena,AR,82.0,scattered clouds,-26.7852,-60.4388,Hotel Gualok
107,Sohbatpur,PK,76.86,clear sky,28.5202,68.5434,Allu Hotel
108,Taunggyi,MM,70.74,clear sky,20.7833,97.0333,True Treasure Hotel
111,Goure,NE,78.71,overcast clouds,13.9835,10.2704, 
113,Gafargaon,BD,82.4,haze,24.4333,90.5667,গফরগাঁও ধামাইল ঢালীবাড়ী
117,Mabaruma,GY,73.29,overcast clouds,8.2,-59.7833, 
120,Manaquiri,BR,77.0,light rain,-3.3167,-60.35, 
122,Kapaa,US,77.0,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
126,Riberalta,BO,72.72,overcast clouds,-10.9833,-66.1,Hotel Colonial
127,Kawalu,ID,79.14,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
130,Pangai,TO,80.6,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
131,Mogadishu,SO,81.52,light rain,2.0371,45.3438,Olympic Hotel
132,Flinders,AU,71.01,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
134,Lujan,AR,72.0,overcast clouds,-34.5703,-59.105,Hotel Biarritz
136,Newcastle,AU,75.0,few clouds,-32.9272,151.7765,NOAH'S on the beach
137,Napasar,IN,75.24,clear sky,27.9667,73.55,Laxmi Palace
138,Saint George,US,78.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
140,Umm Kaddadah,SD,73.45,scattered clouds,13.6017,26.6876, 
141,Belawan,ID,78.8,mist,3.7755,98.6832,Lilik Hidayat Pulungan
144,Bengkulu,ID,78.66,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
146,Dickinson,US,75.2,mist,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
148,Pocone,BR,80.55,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
149,Hithadhoo,MV,82.62,clear sky,-0.6,73.0833,Scoop Guest House
150,Takaungu,KE,80.6,light rain,-3.6837,39.8566,Takaungu House
152,Puerto Baquerizo Moreno,EC,73.81,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
153,Faanui,PF,82.29,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
159,Carutapera,BR,76.8,overcast clouds,-1.195,-46.02,Lidera
164,Chabahar,IR,75.7,clear sky,25.2919,60.643,هتل گدروشیا
165,Tabou,CI,79.38,light rain,4.423,-7.3528,hotêl doufoulougou
166,Navolato,MX,78.8,clear sky,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
171,New Smyrna Beach,US,71.6,broken clouds,29.0258,-80.92699999999999,Hampton Inn New Smyrna Beach
174,Taoudenni,ML,83.62,clear sky,22.6783,-3.9836, 
181,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
183,Aitape,PG,81.55,moderate rain,-3.1374,142.3475, 
184,Uthal,PK,75.99,clear sky,25.8072,66.6219,Al Madina Hotal
188,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
189,Port Blair,IN,82.29,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
194,Cururupu,BR,76.42,broken clouds,-1.8283,-44.8683,Pousada Través'cia
195,Bac Lieu,VN,83.82,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
197,Celestun,MX,79.14,clear sky,20.8667,-90.4,Posada Lilia
199,Victoria,HK,71.01,broken clouds,22.2855,114.1577,Mini Hotel Central
200,Maua,BR,71.01,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
201,Yulara,AU,77.0,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
208,Acajutla,SV,73.99,overcast clouds,13.5928,-89.8275,asi es
210,Pitimbu,BR,73.4,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
221,Eydhafushi,MV,81.82,clear sky,5.1033,73.0708,Soneva Fushi
226,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
227,Athmallik,IN,79.03,broken clouds,20.7219,84.5348,omm studio athmallik
230,Champerico,GT,84.2,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
232,Ternate,ID,83.52,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
233,Sola,VU,89.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
237,Loreto,MX,75.88,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
239,Salalah,OM,78.8,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
