City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Port Elizabeth,ZA,2021-04-10 01:25:09,-33.918,25.5701,57.2,94,0,3.44,clear sky
1,Atuona,PF,2021-04-10 01:28:54,-9.8,-139.0333,80.49,77,17,13.49,few clouds
2,Kahului,US,2021-04-10 01:28:54,20.8947,-156.47,78.8,57,20,23.02,few clouds
3,Katsuura,JP,2021-04-10 01:28:54,35.1333,140.3,54.0,57,100,3.0,overcast clouds
4,Neuruppin,DE,2021-04-10 01:28:55,52.9282,12.8031,43.0,83,100,2.51,overcast clouds
5,Hobart,AU,2021-04-10 01:28:55,-42.8794,147.3294,51.01,62,75,18.41,broken clouds
6,Bardiyah,LY,2021-04-10 01:28:55,31.7561,25.0865,53.87,54,2,22.77,clear sky
7,Mataura,NZ,2021-04-10 01:28:56,-46.1927,168.8643,55.0,90,100,1.01,overcast clouds
8,Tres Rios,BR,2021-04-10 01:28:56,-22.1167,-43.2092,59.0,98,0,1.63,clear sky
9,Ponta Delgada,PT,2021-04-10 01:28:56,37.7333,-25.6667,59.0,88,40,6.91,scattered clouds
10,Alekseyevsk,RU,2021-04-10 01:28:57,57.8406,108.3492,16.25,76,100,5.61,overcast clouds
11,Ancud,CL,2021-04-10 01:28:57,-41.8697,-73.8203,48.99,93,0,5.75,clear sky
12,Ushuaia,AR,2021-04-10 01:28:57,-54.8,-68.3,44.6,61,40,4.61,scattered clouds
13,Svobodnyy,RU,2021-04-10 01:28:58,51.4,128.1333,48.43,34,4,18.86,clear sky
14,Rikitea,PF,2021-04-10 01:28:58,-23.1203,-134.9692,78.19,74,81,10.76,broken clouds
15,Antalaha,MG,2021-04-10 01:28:58,-14.9003,50.2788,72.88,90,54,5.57,broken clouds
16,Zhigansk,RU,2021-04-10 01:28:58,66.7697,123.3711,4.84,82,100,18.03,overcast clouds
17,Maldonado,UY,2021-04-10 01:28:59,-34.6667,-54.9167,70.0,94,75,5.75,light rain
18,Nikolskoye,RU,2021-04-10 01:28:59,59.7035,30.7861,41.0,75,75,17.9,broken clouds
19,Cape Town,ZA,2021-04-10 01:25:31,-33.9258,18.4232,64.0,94,0,5.75,clear sky
20,Ayr,GB,2021-04-10 01:28:06,55.4627,-4.6339,28.0,93,1,3.44,clear sky
21,Proletariy,RU,2021-04-10 01:29:00,58.4342,31.7046,40.3,66,100,15.66,light rain
22,Hasaki,JP,2021-04-10 01:29:00,35.7333,140.8333,54.0,40,40,9.22,scattered clouds
23,Egvekinot,RU,2021-04-10 01:29:00,66.3167,-179.1667,4.1,66,100,1.9,overcast clouds
24,San Cristobal,VE,2021-04-10 01:29:01,7.7669,-72.225,78.8,83,40,2.3,scattered clouds
25,Bollnas,SE,2021-04-10 01:29:01,61.3482,16.3946,27.0,78,98,3.67,overcast clouds
26,Nipawin,CA,2021-04-10 01:29:01,53.3668,-104.0009,44.6,36,1,2.01,clear sky
27,Klaksvik,FO,2021-04-10 01:29:01,62.2266,-6.589,30.2,69,40,25.32,light snow
28,Albany,US,2021-04-10 01:25:26,42.6001,-73.9662,64.4,51,90,9.22,overcast clouds
29,Kindia,GN,2021-04-10 01:29:02,10.0569,-12.8658,73.26,84,54,3.74,broken clouds
30,Vila Velha,BR,2021-04-10 01:29:02,-20.3297,-40.2925,75.99,64,75,6.91,broken clouds
31,Avarua,CK,2021-04-10 01:29:02,-21.2078,-159.775,84.2,79,87,5.75,overcast clouds
32,Carnarvon,AU,2021-04-10 01:29:03,-24.8667,113.6333,87.8,55,67,14.97,broken clouds
33,Cherskiy,RU,2021-04-10 01:29:03,68.75,161.3,4.37,74,100,4.21,overcast clouds
34,Tura,IN,2021-04-10 01:29:03,25.5198,90.2201,75.43,66,16,3.65,few clouds
35,Torbay,CA,2021-04-10 01:24:16,47.6666,-52.7314,37.0,100,90,10.36,light rain
36,Raha,IN,2021-04-10 01:29:04,26.2333,92.5167,76.19,66,0,2.91,clear sky
37,Arraial Do Cabo,BR,2021-04-10 01:29:04,-22.9661,-42.0278,75.56,74,0,15.73,clear sky
38,Punta Arenas,CL,2021-04-10 01:29:05,-53.15,-70.9167,42.8,81,0,11.5,clear sky
39,Cabo San Lucas,MX,2021-04-10 01:25:17,22.8909,-109.9124,75.2,68,20,3.44,few clouds
40,Herat,AF,2021-04-10 01:29:05,34.5,62.0,63.19,17,97,7.02,overcast clouds
41,Durango,MX,2021-04-10 01:27:15,24.8333,-104.8333,75.69,13,0,22.15,clear sky
42,Ilinskiy,RU,2021-04-10 01:29:06,55.619,38.1182,33.01,80,0,4.47,clear sky
43,Raudeberg,NO,2021-04-10 01:29:06,61.9875,5.1352,36.0,80,100,22.86,overcast clouds
44,Lebu,CL,2021-04-10 01:29:06,-37.6167,-73.65,54.5,82,100,15.5,overcast clouds
45,Jamestown,US,2021-04-10 01:27:35,42.097,-79.2353,59.0,77,1,13.8,clear sky
46,Yellowknife,CA,2021-04-10 01:28:44,62.456,-114.3525,14.0,57,75,16.11,broken clouds
47,Tuktoyaktuk,CA,2021-04-10 01:29:07,69.4541,-133.0374,-14.8,70,75,13.8,snow
48,Sunrise Manor,US,2021-04-10 01:29:07,36.2111,-115.0731,82.4,6,1,3.13,clear sky
49,Thompson,CA,2021-04-10 01:29:07,55.7435,-97.8558,39.2,70,75,10.36,broken clouds
50,Abha,SA,2021-04-10 01:29:08,18.2164,42.5053,64.4,51,20,2.82,few clouds
51,Upernavik,GL,2021-04-10 01:26:39,72.7868,-56.1549,10.53,96,100,13.87,overcast clouds
52,Havre-Saint-Pierre,CA,2021-04-10 01:29:08,50.2334,-63.5986,37.4,41,1,8.05,clear sky
53,Mount Lebanon,US,2021-04-10 01:29:08,40.3554,-80.0495,64.99,68,1,8.05,clear sky
54,Kodiak,US,2021-04-10 01:29:09,57.79,-152.4072,33.8,27,1,12.66,clear sky
55,Xuddur,SO,2021-04-10 01:29:09,4.1213,43.8894,75.74,77,16,9.22,few clouds
56,Fortuna,US,2021-04-10 01:29:09,40.5982,-124.1573,48.99,76,90,13.8,overcast clouds
57,Bukoba,TZ,2021-04-10 01:29:10,-1.3317,31.8122,64.29,81,100,2.95,overcast clouds
58,Port Alfred,ZA,2021-04-10 01:25:00,-33.5906,26.891,62.49,84,86,2.46,overcast clouds
59,Tandil,AR,2021-04-10 01:27:08,-37.3217,-59.1332,62.01,83,66,3.0,broken clouds
60,Marsa Matruh,EG,2021-04-10 01:29:10,31.3525,27.2453,57.2,47,75,18.41,broken clouds
61,Bubaque,GW,2021-04-10 01:29:10,11.2833,-15.8333,76.59,74,2,12.77,clear sky
62,Palmares Do Sul,BR,2021-04-10 01:29:11,-30.2578,-50.5097,74.32,69,100,8.28,overcast clouds
63,Barrow,US,2021-04-10 01:25:01,71.2906,-156.7887,-9.4,70,1,12.66,clear sky
64,Longyearbyen,SJ,2021-04-10 01:29:11,78.2186,15.6401,32.0,69,75,19.57,broken clouds
65,Piney Green,US,2021-04-10 01:29:11,34.716,-77.3202,69.8,73,1,9.22,clear sky
66,Georgetown,MY,2021-04-10 01:29:12,5.4112,100.3354,84.2,78,20,3.44,few clouds
67,Busselton,AU,2021-04-10 01:29:12,-33.65,115.3333,62.01,77,0,8.01,clear sky
68,Ekhabi,RU,2021-04-10 01:29:13,53.5102,142.9671,28.54,72,6,4.16,clear sky
69,Kavaratti,IN,2021-04-10 01:29:13,10.5669,72.642,82.47,66,57,4.03,broken clouds
70,Palana,RU,2021-04-10 01:29:14,59.1167,159.9667,14.22,85,100,20.36,overcast clouds
71,Bluff,NZ,2021-04-10 01:29:14,-46.6,168.3333,55.0,90,100,1.01,light rain
72,Matipo,BR,2021-04-10 01:29:14,-20.2839,-42.3411,62.08,90,30,4.65,scattered clouds
73,Santa Cruz,BO,2021-04-10 01:28:13,-17.8,-63.1667,75.2,94,75,3.44,broken clouds
74,Kavieng,PG,2021-04-10 01:29:15,-2.5744,150.7967,83.88,67,94,3.78,overcast clouds
75,Vaini,TO,2021-04-10 01:29:15,-21.2,-175.2,82.4,74,40,6.91,scattered clouds
76,Cancun,MX,2021-04-10 01:28:23,21.1743,-86.8466,80.6,83,75,9.22,broken clouds
77,East London,ZA,2021-04-10 01:29:15,-33.0153,27.9116,65.12,88,33,3.65,scattered clouds
78,Ukiah,US,2021-04-10 01:29:16,39.1502,-123.2078,62.6,42,1,9.22,clear sky
79,Sitka,US,2021-04-10 01:29:16,57.0531,-135.33,35.6,80,75,9.22,light snow
80,Puerto Ayora,EC,2021-04-10 01:29:16,-0.7393,-90.3518,75.99,96,96,1.99,overcast clouds
81,New Norfolk,AU,2021-04-10 01:29:17,-42.7826,147.0587,51.01,76,30,1.01,moderate rain
82,Okha,RU,2021-04-10 01:29:17,53.5739,142.9478,28.11,73,6,4.61,clear sky
83,Khatanga,RU,2021-04-10 01:29:17,71.9667,102.5,2.35,77,24,6.24,few clouds
84,Port Macquarie,AU,2021-04-10 01:29:18,-31.4333,152.9167,82.0,53,73,1.99,broken clouds
85,Mahebourg,MU,2021-04-10 01:29:18,-20.4081,57.7,77.0,88,75,9.22,broken clouds
86,Conde,BR,2021-04-10 01:29:18,-7.2597,-34.9075,73.4,100,40,6.91,scattered clouds
87,Laguna,US,2021-04-10 01:29:18,38.421,-121.4238,72.0,40,1,11.5,clear sky
88,Starobesheve,UA,2021-04-10 01:29:19,47.7504,38.0305,37.72,61,9,8.63,clear sky
89,Camocim,BR,2021-04-10 01:29:19,-2.9022,-40.8411,78.84,83,54,12.77,broken clouds
90,Fare,PF,2021-04-10 01:29:19,-16.7,-151.0167,82.17,69,100,6.44,overcast clouds
91,Chuy,UY,2021-04-10 01:29:20,-33.6971,-53.4616,67.24,94,100,3.83,moderate rain
92,Lorengau,PG,2021-04-10 01:29:20,-2.0226,147.2712,80.35,84,100,12.06,light rain
93,Ngunguru,NZ,2021-04-10 01:29:20,-35.6167,174.5,66.99,97,100,15.99,light rain
94,Bacnar,PH,2021-04-10 01:29:21,15.8833,120.3333,83.44,61,99,10.83,overcast clouds
95,Novovasylivka,UA,2021-04-10 01:29:21,46.8315,35.7536,37.71,58,28,8.63,scattered clouds
96,Nurota,UZ,2021-04-10 01:29:21,40.5614,65.6886,50.0,76,0,11.5,clear sky
97,Petropavlovsk-Kamchatskiy,RU,2021-04-10 01:29:22,53.0452,158.6483,39.2,41,100,6.71,overcast clouds
98,Bo Rai,TH,2021-04-10 01:29:22,12.5728,102.5371,82.0,99,100,2.08,overcast clouds
99,Svetlaya,RU,2021-04-10 01:29:22,46.5389,138.3297,44.1,47,90,4.07,overcast clouds
100,Hilo,US,2021-04-10 01:27:00,19.7297,-155.09,78.8,53,1,11.5,clear sky
101,Sambava,MG,2021-04-10 01:29:23,-14.2667,50.1667,74.61,89,43,8.57,scattered clouds
102,Ales,FR,2021-04-10 01:29:23,44.1333,4.0833,51.8,66,90,6.91,overcast clouds
103,Hermanus,ZA,2021-04-10 01:29:23,-34.4187,19.2345,64.99,85,100,3.0,overcast clouds
104,Dali,CN,2021-04-10 01:29:24,25.7,100.1833,61.0,60,1,4.88,clear sky
105,Presidencia Roque Saenz Pena,AR,2021-04-10 01:29:24,-26.7852,-60.4388,82.0,79,27,1.99,scattered clouds
106,Andrychow,PL,2021-04-10 01:29:24,49.855,19.3383,36.0,80,0,5.75,clear sky
107,Sohbatpur,PK,2021-04-10 01:29:25,28.5202,68.5434,76.86,16,4,7.94,clear sky
108,Taunggyi,MM,2021-04-10 01:29:25,20.7833,97.0333,70.74,48,0,2.91,clear sky
109,Alcudia,ES,2021-04-10 01:29:25,39.8532,3.1214,53.01,89,100,4.0,overcast clouds
110,Shelburne,CA,2021-04-10 01:29:26,44.0787,-80.2041,57.99,76,100,10.02,overcast clouds
111,Goure,NE,2021-04-10 01:29:26,13.9835,10.2704,78.71,5,89,8.81,overcast clouds
112,Sovetskiy,RU,2021-04-10 01:29:14,61.3614,63.5842,33.75,99,100,2.08,light rain
113,Gafargaon,BD,2021-04-10 01:29:26,24.4333,90.5667,82.4,83,40,6.8,haze
114,Broome,US,2021-04-10 01:29:27,42.2506,-75.833,55.99,71,75,6.91,broken clouds
115,Llanes,ES,2021-04-10 01:29:27,43.4198,-4.7549,55.99,81,77,4.18,light rain
116,Chokurdakh,RU,2021-04-10 01:29:27,70.6333,147.9167,-7.31,90,92,11.88,overcast clouds
117,Mabaruma,GY,2021-04-10 01:29:27,8.2,-59.7833,73.29,99,100,4.18,overcast clouds
118,Pevek,RU,2021-04-10 01:29:28,69.7008,170.3133,-7.4,86,45,3.15,scattered clouds
119,Tecpan,GT,2021-04-10 01:29:28,14.7623,-90.9947,68.0,77,75,9.22,broken clouds
120,Manaquiri,BR,2021-04-10 01:29:28,-3.3167,-60.35,77.0,100,20,3.62,light rain
121,Shubarkuduk,KZ,2021-04-10 01:29:29,49.1447,56.4872,48.45,62,7,18.92,clear sky
122,Kapaa,US,2021-04-10 01:26:11,22.0752,-159.319,77.0,61,20,13.8,few clouds
123,Tiksi,RU,2021-04-10 01:29:29,71.6872,128.8694,-9.27,99,100,6.2,overcast clouds
124,Severo-Kurilsk,RU,2021-04-10 01:29:29,50.6789,156.125,32.45,91,97,6.87,overcast clouds
125,Constitucion,CL,2021-04-10 01:29:30,-35.3333,-72.4167,53.92,86,39,12.15,scattered clouds
126,Riberalta,BO,2021-04-10 01:29:30,-10.9833,-66.1,72.72,99,97,2.15,overcast clouds
127,Kawalu,ID,2021-04-10 01:29:30,-7.3817,108.2082,79.14,77,90,1.59,overcast clouds
128,Richards Bay,ZA,2021-04-10 01:29:31,-28.783,32.0377,66.38,93,3,3.87,clear sky
129,Zhaozhou,CN,2021-04-10 01:29:31,45.6833,125.3167,57.06,17,0,18.12,clear sky
130,Pangai,TO,2021-04-10 01:29:31,-19.8,-174.35,80.6,74,40,5.75,scattered clouds
131,Mogadishu,SO,2021-04-10 01:24:41,2.0371,45.3438,81.52,77,90,8.23,light rain
132,Flinders,AU,2021-04-10 01:29:32,-34.5833,150.8552,71.01,49,29,5.01,scattered clouds
133,Yerbogachen,RU,2021-04-10 01:29:32,61.2767,108.0108,8.58,79,7,8.97,clear sky
134,Lujan,AR,2021-04-10 01:29:33,-34.5703,-59.105,72.0,99,100,4.0,overcast clouds
135,San Vicente,AR,2021-04-10 01:29:33,-26.6167,-54.1333,69.04,71,42,2.86,scattered clouds
136,Newcastle,AU,2021-04-10 01:25:08,-32.9272,151.7765,75.0,60,19,14.97,few clouds
137,Napasar,IN,2021-04-10 01:29:33,27.9667,73.55,75.24,14,0,10.45,clear sky
138,Saint George,US,2021-04-10 01:28:42,37.1041,-113.5841,78.01,8,1,10.36,clear sky
139,Jiaojiang,CN,2021-04-10 01:29:34,28.6803,121.4428,62.01,99,100,7.4,overcast clouds
140,Umm Kaddadah,SD,2021-04-10 01:29:34,13.6017,26.6876,73.45,12,50,13.8,scattered clouds
141,Belawan,ID,2021-04-10 01:29:34,3.7755,98.6832,78.8,94,40,3.44,mist
142,Puqi,CN,2021-04-10 01:29:35,29.7167,113.8833,61.9,72,100,0.4,overcast clouds
143,Toba,JP,2021-04-10 01:29:35,34.4833,136.85,51.01,49,47,5.99,scattered clouds
144,Bengkulu,ID,2021-04-10 01:29:35,-3.8004,102.2655,78.66,83,33,4.47,scattered clouds
145,Solwezi,ZM,2021-04-10 01:29:36,-12.1688,26.3894,56.62,87,90,4.7,overcast clouds
146,Dickinson,US,2021-04-10 01:27:27,29.4608,-95.0513,75.2,88,90,11.5,mist
147,Roald,NO,2021-04-10 01:29:36,62.5833,6.1333,34.0,86,75,14.97,snow
148,Pocone,BR,2021-04-10 01:29:36,-16.2567,-56.6228,80.55,64,52,6.73,broken clouds
149,Hithadhoo,MV,2021-04-10 01:29:37,-0.6,73.0833,82.62,68,0,9.06,clear sky
150,Takaungu,KE,2021-04-10 01:29:37,-3.6837,39.8566,80.6,89,40,4.61,light rain
151,Livingston,GB,2021-04-10 01:26:22,55.9029,-3.5226,30.0,86,0,3.44,clear sky
152,Puerto Baquerizo Moreno,EC,2021-04-10 01:29:37,-0.9,-89.6,73.81,88,100,0.72,overcast clouds
153,Faanui,PF,2021-04-10 01:29:38,-16.4833,-151.75,82.29,69,91,6.71,overcast clouds
154,Kabare,CD,2021-04-10 01:29:38,-2.4683,28.8242,61.74,91,100,0.54,overcast clouds
155,Naze,JP,2021-04-10 01:28:22,28.3667,129.4833,68.0,77,75,21.85,broken clouds
156,Shingu,JP,2021-04-10 01:29:38,33.7333,135.9833,53.6,35,0,6.91,clear sky
157,Qaanaaq,GL,2021-04-10 01:29:39,77.484,-69.3632,11.21,59,100,8.14,overcast clouds
158,Vardo,NO,2021-04-10 01:29:39,70.3705,31.1107,17.6,67,0,12.66,clear sky
159,Carutapera,BR,2021-04-10 01:26:15,-1.195,-46.02,76.8,91,95,6.76,overcast clouds
160,Mar Del Plata,AR,2021-04-10 01:28:33,-38.0023,-57.5575,64.0,88,40,9.22,scattered clouds
161,Ponta Do Sol,PT,2021-04-10 01:29:40,32.6667,-17.1,61.0,77,43,1.99,scattered clouds
162,Dalvik,IS,2021-04-10 01:29:40,65.9702,-18.5286,15.8,73,0,3.44,clear sky
163,Fairbanks,US,2021-04-10 01:29:40,64.8378,-147.7164,3.99,51,75,5.75,broken clouds
164,Chabahar,IR,2021-04-10 01:29:40,25.2919,60.643,75.7,74,0,3.67,clear sky
165,Tabou,CI,2021-04-10 01:29:41,4.423,-7.3528,79.38,85,100,2.19,light rain
166,Navolato,MX,2021-04-10 01:27:39,24.7672,-107.6944,78.8,57,1,9.22,clear sky
167,Tultitlan,MX,2021-04-10 01:29:41,19.6472,-99.1708,68.0,42,75,13.8,broken clouds
168,Beringovskiy,RU,2021-04-10 01:29:41,63.05,179.3167,7.54,93,100,20.09,snow
169,Coihaique,CL,2021-04-10 01:29:42,-45.5752,-72.0662,41.97,89,5,4.85,clear sky
170,Kaitangata,NZ,2021-04-10 01:29:42,-46.2817,169.8464,62.01,92,100,11.01,overcast clouds
171,New Smyrna Beach,US,2021-04-10 01:25:01,29.0258,-80.927,71.6,73,75,12.66,broken clouds
172,Lagoa,PT,2021-04-10 01:29:42,39.05,-27.9833,58.44,85,100,17.0,overcast clouds
173,Srednekolymsk,RU,2021-04-10 01:29:43,67.45,153.6833,4.62,84,100,9.37,overcast clouds
174,Taoudenni,ML,2021-04-10 01:29:43,22.6783,-3.9836,83.62,14,0,10.54,clear sky
175,Yeniseysk,RU,2021-04-10 01:29:43,58.4497,92.1703,31.66,76,96,5.91,overcast clouds
176,Provideniya,RU,2021-04-10 01:29:44,64.3833,-173.3,2.34,84,100,15.75,overcast clouds
177,Luderitz,NA,2021-04-10 01:29:44,-26.6481,15.1594,73.36,49,0,5.28,clear sky
178,Chimbote,PE,2021-04-10 01:24:53,-9.0853,-78.5783,69.42,85,31,8.39,scattered clouds
179,Nanortalik,GL,2021-04-10 01:29:44,60.1432,-45.2371,36.21,96,100,7.49,overcast clouds
180,Pisco,PE,2021-04-10 01:29:45,-13.7,-76.2167,68.0,77,0,19.57,clear sky
181,The Valley,AI,2021-04-10 01:26:24,18.217,-63.0578,77.0,61,20,11.5,few clouds
182,Brae,GB,2021-04-10 01:29:45,60.3964,-1.353,33.8,80,40,12.66,light snow
183,Aitape,PG,2021-04-10 01:29:45,-3.1374,142.3475,81.55,85,100,6.64,moderate rain
184,Uthal,PK,2021-04-10 01:29:46,25.8072,66.6219,75.99,60,0,5.53,clear sky
185,Necochea,AR,2021-04-10 01:29:46,-38.5473,-58.7368,60.26,84,1,6.29,clear sky
186,Port Talbot,GB,2021-04-10 01:29:46,51.5924,-3.7802,39.0,75,61,1.01,broken clouds
187,Torata,PE,2021-04-10 01:29:47,-17.0769,-70.8433,59.5,66,100,2.77,overcast clouds
188,Bathsheba,BB,2021-04-10 01:29:47,13.2167,-59.5167,78.8,65,20,9.22,few clouds
189,Port Blair,IN,2021-04-10 01:29:47,11.6667,92.75,82.29,72,36,2.82,scattered clouds
190,Ilulissat,GL,2021-04-10 01:25:45,69.2167,-51.1,26.6,86,75,14.97,broken clouds
191,Narsaq,GL,2021-04-10 01:25:59,60.9167,-46.05,37.4,75,75,3.44,broken clouds
192,Bada,RU,2021-04-10 01:29:48,51.392,109.8717,33.1,61,82,12.28,broken clouds
193,Zubova Polyana,RU,2021-04-10 01:29:48,54.0771,42.8372,33.24,87,93,5.03,overcast clouds
194,Cururupu,BR,2021-04-10 01:26:54,-1.8283,-44.8683,76.42,90,55,3.87,broken clouds
195,Bac Lieu,VN,2021-04-10 01:29:49,9.285,105.7244,83.82,68,47,13.67,scattered clouds
196,Saldanha,ZA,2021-04-10 01:29:49,-33.0117,17.9442,59.0,94,100,5.75,overcast clouds
197,Celestun,MX,2021-04-10 01:29:49,20.8667,-90.4,79.14,82,0,15.28,clear sky
198,Pangnirtung,CA,2021-04-10 01:29:49,66.1451,-65.7125,5.81,95,95,5.79,overcast clouds
199,Victoria,HK,2021-04-10 01:29:50,22.2855,114.1577,71.01,61,52,3.0,broken clouds
200,Maua,BR,2021-04-10 01:29:50,-23.6678,-46.4614,71.01,91,0,1.01,clear sky
201,Yulara,AU,2021-04-10 01:29:50,-25.2406,130.9889,77.0,41,100,16.11,overcast clouds
