City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Leshukonskoye,RU,2021-04-04 23:51:33,64.8989,45.7622,29.03,90,94,9.48
1,Vaini,TO,2021-04-04 23:51:33,-21.2,-175.2,80.6,74,20,14.97
2,Margate,GB,2021-04-04 23:51:34,51.3813,1.3862,46.99,70,20,4.0
3,San Cristobal,VE,2021-04-04 23:51:34,7.7669,-72.225,80.6,74,40,4.61
4,Guerrero Negro,MX,2021-04-04 23:51:35,27.9769,-114.0611,65.71,66,2,18.81
5,Chokurdakh,RU,2021-04-04 23:51:35,70.6333,147.9167,-12.32,93,43,4.14
6,East London,ZA,2021-04-04 23:49:48,-33.0153,27.9116,67.26,71,16,13.2
7,Aklavik,CA,2021-04-04 23:51:36,68.2191,-135.0107,19.4,68,100,8.05
8,Kaitangata,NZ,2021-04-04 23:51:36,-46.2817,169.8464,57.0,67,53,18.99
9,Busselton,AU,2021-04-04 23:51:37,-33.65,115.3333,67.59,81,13,3.71
10,Platanos,GR,2021-04-04 23:51:37,37.6667,21.6167,60.8,94,75,6.11
11,Mahebourg,MU,2021-04-04 23:51:38,-20.4081,57.7,80.01,77,38,7.0
12,Minab,IR,2021-04-04 23:51:38,27.1467,57.0801,75.2,73,50,4.61
13,Georgetown,MY,2021-04-04 23:51:39,5.4112,100.3354,82.0,89,20,1.14
14,Geraldton,AU,2021-04-04 23:51:39,-28.7667,114.6,69.8,88,40,5.75
15,Cape Town,ZA,2021-04-04 23:51:40,-33.9258,18.4232,64.99,88,0,10.36
16,Iqaluit,CA,2021-04-04 23:49:26,63.7506,-68.5145,10.4,79,75,13.8
17,Tuktoyaktuk,CA,2021-04-04 23:51:40,69.4541,-133.0374,5.0,85,90,24.16
18,Rosarito,MX,2021-04-04 23:51:41,32.3333,-117.0333,69.8,52,75,12.66
19,Pedernales,DO,2021-04-04 23:51:41,18.0384,-71.744,78.6,74,42,2.26
20,Hobart,AU,2021-04-04 23:47:27,-42.8794,147.3294,64.99,51,20,11.5
21,Khatanga,RU,2021-04-04 23:49:14,71.9667,102.5,-5.85,82,11,12.57
22,Kieta,PG,2021-04-04 23:51:42,-6.2167,155.6333,83.5,75,99,1.01
23,Sao Goncalo Do Sapucai,BR,2021-04-04 23:51:42,-21.8922,-45.5953,62.15,89,90,4.07
24,Rikitea,PF,2021-04-04 23:51:43,-23.1203,-134.9692,77.94,65,46,19.08
25,Saskylakh,RU,2021-04-04 23:51:43,71.9167,114.0833,-15.34,95,22,4.99
26,Mogadishu,SO,2021-04-04 23:50:57,2.0371,45.3438,81.03,79,68,6.98
27,Lucapa,AO,2021-04-04 23:51:44,-8.4192,20.7447,65.01,98,100,2.46
28,Jamestown,US,2021-04-04 23:49:35,42.097,-79.2353,50.0,40,1,8.05
29,Nanortalik,GL,2021-04-04 23:51:44,60.1432,-45.2371,34.38,87,17,7.29
30,Mataura,NZ,2021-04-04 23:51:44,-46.1927,168.8643,57.99,64,99,21.0
31,Donetsk,UA,2021-04-04 23:51:45,48.0,37.8,39.4,84,100,3.18
32,San Patricio,US,2021-04-04 23:51:45,28.017,-97.5169,73.4,60,75,13.8
33,Romny,UA,2021-04-04 23:51:46,50.751,33.4747,36.68,76,30,2.82
34,Nsanje,MW,2021-04-04 23:51:46,-16.92,35.262,67.78,97,3,1.57
35,Kahului,US,2021-04-04 23:51:47,20.8947,-156.47,75.2,83,40,18.41
36,Ushuaia,AR,2021-04-04 23:48:17,-54.8,-68.3,42.8,81,75,5.75
37,Cururupu,BR,2021-04-04 23:51:47,-1.8283,-44.8683,75.58,97,100,4.54
38,Butaritari,KI,2021-04-04 23:49:25,3.0707,172.7902,82.31,78,86,14.79
39,San Ramon,US,2021-04-04 23:48:19,37.7799,-121.978,62.6,48,1,12.66
40,Dornoch,GB,2021-04-04 23:51:48,57.8805,-4.0288,33.8,60,87,19.57
41,Ponta Do Sol,PT,2021-04-04 23:51:49,32.6667,-17.1,55.99,62,74,4.0
42,Lodja,CD,2021-04-04 23:51:49,-3.4833,23.4333,66.42,98,98,0.58
43,Sakakah,SA,2021-04-04 23:51:49,29.9697,40.2064,57.2,19,0,3.44
44,Cabo San Lucas,MX,2021-04-04 23:51:50,22.8909,-109.9124,91.4,17,1,23.02
45,Victoria,HK,2021-04-04 23:51:42,22.2855,114.1577,73.0,88,100,1.01
46,Rocha,UY,2021-04-04 23:51:50,-34.4833,-54.3333,64.47,96,17,8.03
47,Atuona,PF,2021-04-04 23:51:35,-9.8,-139.0333,80.4,79,79,6.51
48,Barillas,GT,2021-04-04 23:51:51,15.8036,-91.3158,64.4,59,90,9.22
49,Saint-Philippe,RE,2021-04-04 23:51:51,-21.3585,55.7679,78.8,73,0,6.91
50,Bonavista,CA,2021-04-04 23:51:52,48.6499,-53.1147,37.4,100,100,3.44
51,Sao Gabriel Da Cachoeira,BR,2021-04-04 23:51:35,-0.1303,-67.0892,73.85,98,100,2.66
52,Kapaa,US,2021-04-04 23:51:53,22.0752,-159.319,77.0,61,90,14.97
53,Te Anau,NZ,2021-04-04 23:51:53,-45.4167,167.7167,54.32,80,96,7.87
54,Kavieng,PG,2021-04-04 23:51:53,-2.5744,150.7967,81.19,75,98,4.45
55,Port Alfred,ZA,2021-04-04 23:51:54,-33.5906,26.891,68.86,77,75,11.5
56,Nakamura,JP,2021-04-04 23:51:54,32.9833,132.9333,56.44,79,35,4.72
57,Smithers,CA,2021-04-04 23:49:51,54.7804,-127.1743,42.8,52,20,18.41
58,Colchester,GB,2021-04-04 23:49:46,51.8892,0.9042,48.99,80,52,13.24
59,Deputatskiy,RU,2021-04-04 23:51:55,69.3,139.9,-1.98,92,100,3.27
60,Chuy,UY,2021-04-04 23:51:56,-33.6971,-53.4616,67.87,87,8,11.03
61,Amos,CA,2021-04-04 23:51:56,48.5669,-78.1162,48.2,53,1,8.05
62,Berlevag,NO,2021-04-04 23:51:56,70.8578,29.0864,36.19,89,100,14.76
63,Komsomolskiy,UZ,2021-04-04 23:51:57,40.4272,71.7189,48.2,76,75,3.65
64,Hermanus,ZA,2021-04-04 23:51:57,-34.4187,19.2345,64.0,90,98,1.01
65,Nyurba,RU,2021-04-04 23:51:58,63.2842,118.3319,-8.91,94,92,5.14
66,Mar Del Plata,AR,2021-04-04 23:49:26,-38.0023,-57.5575,69.01,88,40,9.22
